S. No.,Duration,Total Subscribers - Cumulative (Crore),Wireless Subscribers - Cumulative (Crore),Wireline Subscribers - Cumulative (Crore)
1,Qtr-1 (2014-15),6.883,5.386,1.497
2,Qtr-2 (2014-15),7.573,6.060,1.513
3,Qtr-3 (2014-15),8.574,7.042,1.532
4,Qtr-4 (2014-15),9.920,8.368,1.552
5,Qtr-1 (2015-16),10.885,9.315,1.570
6,Qtr-2 (2015-16),12.088,10.475,1.613
7,Qtr-3 (2015-16),13.653,12.002,1.651
8,Qtr-4 (2015-16),14.975,13.277,1.698
9,Qtr-1 (2016-17),16.206,14.474,1.732
10,Qtr-2 (2016-17),19.231,17.447,1.784
11,Qtr-3 (2016-17),23.609,21.795,1.814
12,Qtr-4 (2016-17),27.651,25.827,1.824
13,Qtr-1 (2017-18),30.084,28.251,1.833
14,Qtr-2 (2017-18),32.490,30.686,1.804
15,Qtr-3 (2017-18),36.287,34.501,1.786
16,Qtr-4 (2017-18),41.260,39.465,1.795
17,Qtr-1 (2018-19),44.712,42.922,1.790
18,Qtr-2 (2018-19),48.170,46.371,1.799
19,Qtr-3 (2018-19),52.536,50.719,1.817
20,Qtr-4 (2018-19),56.331,54.489,1.842
21,Qtr-1 (2019-20),59.459,57.617,1.842
22,Qtr-2 (2019-20),62.542,60.641,1.901
23,Qtr-3 (2019-20),66.194,64.280,1.914
24,Qtr-4 (2019-20),68.744,66.826,1.918
25,Qtr-1 (2020-21),69.823,67.841,1.982
26,Qtr-2 (2020-21),72.632,2.112,70.520
27,Qtr-3 (2020-21),74.740,2.229,72.511
28,Qtr-4 (2020-21),77.809,75.534,2.275
29,Qtr-1 (2021-22),79.278,76.926,2.352
30,Qtr-2 (2021-22),79.488,2.439,77.049
31,Qtr-3 (2021-22),79.208,76.565,2.643
32,Qtr-4 (2021-22),78.830,76.105,2.725
33,Qtr-1 (2022-23),80.094,77.223,2.871
34,Qtr-2 (2022-23),81.593,78.514,3.079
35,Qtr-3 (2022-23),83.220,79.982,3.238
