At the end of March,Bharti Airtel,Reliance communications,Reliance -Jio,Vodafone,TATA,Idea,Aircel,Loop/BPL mobile,Quadrant/HFCL,SISTEMA,Telewings/Uninor,Stel,Etisalat DB Telcom,Videocon
2008,64.27,46.67,NA,44.13,25.05,28.21,10.61,1.29,0.45,0.26,0.00,0.00,0.00,0.00
2009,96.65,73.77,NA,68.77,36.04,43.02,18.48,2.16,0.55,0.73,0.00,0.00,0.00,0.00
2010,130.69,103.60,NA,100.86,67.10,63.82,36.86,2.84,0.50,3.82,4.26,1.01,0.00,0.03
2011,165.50,136.95,NA,134.57,90.42,89.50,54.84,3.09,1.66,10.10,22.79,2.82,0.97,7.11
2012,184.55,154.32,NA,150.48,83.19,112.72,62.57,3.27,1.53,15.85,42.43,3.43,0.78,5.95
2013,191.48,124.22,NA,152.39,67.92,121.61,60.07,3.01,1.56,11.96,31.68,0.00,0.00,2.01
2014,208.75,112.13,NA,166.62,64.55,135.79,70.15,2.90,2.39,9.09,35.61,0.00,0.00,4.99
2015,229.43,110.65,NA,183.88,67.99,157.81,81.40,0.00,2.96,8.92,45.62,0.00,0.00,7.13
2016,254.90,103.58,NA,198.04,61.82,175.07,87.09,0.00,3.42,7.75,52.45,0.00,0.00,6.56
2017,277.51,84.68,108.68,209.20,50.74,195.37,90.90,0.00,0.26,4.97,50.49,0.00,0.00,0.00
2018,308.12,1.11,186.56,222.92,33.07,211.21,78.92,0.00,0.24,0.00,37.98,0.00,0.00,0.00
2019,329.36,0.75,306.72,395.17,17.68,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00
2020,332.21,0.52,387.52,319.62,1.77,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00
2021,357.17,0.22,426.25,284.23,1.63,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00
2022,366.18,0.18,410.17,261.35,1.60,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.00
