Sl.No,Districts,31.03.2012,31.03.2013,31.03.2014,31.03.2015,31.03.2016
1,Kancheepuram,*,NA,*,*,*
2,Thiruvallur,*,NA,*,*,*
3,Cuddalore,51341,50865,48473,43535,39625
4,Villupuram,38131,36510,33708,29581,26607
5,Vellore,80443,73226,65056,59218,55644
6,Tiruvannamalai,28955,27314,23998,22056,20662
7,Salem,83930,83208,80525,73119,64926
8,Namakkal,51653,50983,50141,44677,38710
9,Dharmapuri,17510,16457,13877,12757,11559
10,Krishnagiri,27639,25542,22638,20157,17646
11,Erode,117194,111358,95972,84881,75548
12,Coimbatore,170199,160945,148474,139283,132576
13,Tiruppur ,67827,63309,54497,48801,45539
14,The Nilgiris,30657,28010,26862,24891,23330
15,Thanjavur,77232,73393,70844,65836,59759
16,Nagapattinam,50914,49132,44621,39702,35161
17,Thiruvarur,31807,27912,26232,24769,21803
18,Tiruchirappalli,98863,95047,87867,79340,74321
19,Karur,26161,23846,21883,19381,17866
20,Ariyalur,8547,7683,7411,6919,5789
21,Perambalur,8875,7466,6721,5820,5039
22,Pudukkottai,33251,29349,27510,25181,22757
23,Madurai,85570,83892,77772,71826,66186
24,Theni,21203,20104,17599,15377,13310
25,Dindigul,38946,37152,32303,29241,26217
26,Ramanathapuram,31413,27743,24383,21860,18221
27,Virudhunagar,49235,45751,41440,36669,33083
28,Sivagangai,34860,30753,27794,24153,20786
29,Tirunelveli,89490,85766,80813,73663,69947
30,Thoothukkudi,64201,59694,55963,50396,48762
31,Kanniyakumari,81092,79964,74585,67991,64879
32,Karaikal**,NA,12430,11698,11099,10392
33,Puducherry**,NA,57699,56428,54646,49481
Total,Total,1597139,1582503,1458088,1326825,1216131
